r1084118.fit  5.95  1.96 0.063    88.7 from  62 sources of uvex_5610 U
r1084119.fit  5.32  1.76 0.053   104.0 from 157 sources of uvex_5610 g
r1084120.fit  4.38  1.45 0.053   145.2 from 532 sources of uvex_5619 r
r1084121.fit  5.70  1.88 0.042    91.8 from  52 sources of uvex_5619 U
r1084122.fit  4.44  1.47 0.063   106.2 from 288 sources of uvex_5619 g
r1084123.fit  3.93  1.30 0.046    82.2 from 130 sources of ST_NGC7006 r
r1084124.fit  5.81  1.92 0.072    82.1 from  51 sources of ST_NGC7006 U
r1084125.fit  4.71  1.55 0.054    68.4 from  88 sources of ST_NGC7006 g
r1084126.fit  3.90  1.29 0.052   138.3 from 520 sources of G24-9 r
r1084127.fit  5.41  1.79 0.068    87.1 from  54 sources of G24-9 U
r1084128.fit  4.67  1.54 0.039   110.8 from 387 sources of G24-9 g
r1084129.fit  4.13  1.36 0.069   144.5 from 580 sources of uvex_6333 r
r1084130.fit  5.21  1.72 0.047    87.4 from  44 sources of uvex_6333 U
r1084131.fit  4.63  1.53 0.053   101.1 from 252 sources of uvex_6333 g
r1084132.fit  4.20  1.39 0.065   146.5 from 1282 sources of uvex_6335 r
r1084133.fit  5.03  1.66 0.050    92.1 from 154 sources of uvex_6335 U
r1084134.fit  3.97  1.31 0.062   104.1 from 998 sources of uvex_6335 g
r1084135.fit  4.36  1.44 0.105   164.0 from 1088 sources of uvex_6335o r
r1084136.fit  5.09  1.68 0.073    95.2 from 156 sources of uvex_6335o U
r1084137.fit  4.14  1.37 0.056   110.5 from 930 sources of uvex_6335o g
r1084138.fit  4.15  1.37 0.068   166.0 from 1033 sources of uvex_6353o r
r1084139.fit  5.27  1.74 0.095    91.3 from 112 sources of uvex_6353o U
r1084140.fit  3.90  1.29 0.067   106.8 from 715 sources of uvex_6353o g
r1084141.fit  3.62  1.19 0.073   136.6 from 200 sources of uvex_6358 r
r1084142.fit  4.74  1.56 0.060    86.3 from  25 sources of uvex_6358 U
r1084143.fit  4.33  1.43 0.061    98.5 from  73 sources of uvex_6358 g
r1084144.fit  4.02  1.33 0.056   141.6 from 389 sources of uvex_6361 r
r1084145.fit  4.98  1.64 0.034    90.1 from  37 sources of uvex_6361 U
r1084146.fit  4.68  1.54 0.037   106.0 from 131 sources of uvex_6361 g
r1084147.fit  4.24  1.40 0.067   143.2 from 873 sources of uvex_6363o r
r1084148.fit  5.18  1.71 0.049    90.2 from  99 sources of uvex_6363o U
r1084149.fit  4.96  1.64 0.074   109.0 from 457 sources of uvex_6363o g
r1084150.fit  4.86  1.60 0.050   161.3 from 306 sources of uvex_6383 r
r1084151.fit  5.14  1.70 0.036    89.8 from  31 sources of uvex_6383 U
r1084152.fit  3.99  1.32 0.060   102.0 from 188 sources of uvex_6383 g
r1084153.fit  4.29  1.42 0.100   136.9 from 658 sources of uvex_6390 r
r1084154.fit  4.71  1.55 0.052    88.0 from  76 sources of uvex_6390 U
r1084155.fit  4.12  1.36 0.046    95.2 from 425 sources of uvex_6390 g
r1084156.fit  3.76  1.24 0.070   149.7 from 702 sources of uvex_6390o r
r1084157.fit  4.81  1.59 0.064    81.1 from  65 sources of uvex_6390o U
r1084158.fit  4.30  1.42 0.053   102.2 from 329 sources of uvex_6390o g
r1084159.fit  4.10  1.35 0.091   137.0 from 275 sources of uvex_6409 r
r1084160.fit  5.31  1.75 0.053    87.5 from  23 sources of uvex_6409 U
r1084161.fit  4.08  1.35 0.048    97.4 from 129 sources of uvex_6409 g
r1084162.fit  4.19  1.38 0.057   142.3 from 1159 sources of uvex_6442o r
r1084163.fit  5.91  1.95 0.060    91.8 from  76 sources of uvex_6442o U
r1084164.fit  4.17  1.38 0.052   106.6 from 807 sources of uvex_6442o g
r1084165.fit  4.30  1.42 0.059   145.6 from 876 sources of uvex_6477 r
r1084166.fit  5.72  1.89 0.109    92.8 from  88 sources of uvex_6477 U
r1084167.fit  4.35  1.44 0.054   103.0 from 571 sources of uvex_6477 g
