intphas_0126       0 23 40.48  64 39 59.7   J2000 !  119.97    1.95
intphas_0127       0 23 43.51  57 41 59.3   J2000 !  119.22   -4.97
intphas_0128       0 23 49.49  62 27 59.6   J2000 !  119.75   -0.23
intphas_0129       0 24 18.79  65 34 59.8   J2000 !  120.13    2.86
intphas_0130       0 24 23.39  61 10 59.5   J2000 !  119.68   -1.52
intphas_0131       0 24 43.82  63 22 59.6   J2000 !  119.95    0.67
intphas_0132       0 24 43.91  59 53 59.5   J2000 !  119.59   -2.80
intphas_0133       0 24 53.18  58 36 59.4   J2000 !  119.47   -4.08
intphas_0134       0 24 55.63  67 35 59.9   J2000 !  120.40    4.86
intphas_0135       0 25 26.85  62  5 59.6   J2000 !  119.90   -0.62
intphas_0136       0 25 34.16  64 17 59.7   J2000 !  120.13    1.57
intphas_0137       0 25 42.82  66  7 59.8   J2000 !  120.33    3.39
intphas_0138       0 25 52.52  60 48 59.5   J2000 !  119.82   -1.90
intphas_0139       0 26  8.10  59 31 59.4   J2000 !  119.72   -3.18
intphas_0140       0 26 17.01  65 12 59.7   J2000 !  120.30    2.47
intphas_0141       0 26 17.29  58 14 59.4   J2000 !  119.62   -4.46
intphas_0142       0 26 27.33  63  0 59.6   J2000 !  120.10    0.28
intphas_0143       0 26 42.11  66 40 59.8   J2000 !  120.48    3.93
intphas_0144       0 27  1.37  61 43 59.6   J2000 !  120.05   -1.00
intphas_0145       0 27 21.55  60 26 59.5   J2000 !  119.96   -2.28
intphas_0146       0 27 24.37  63 55 59.7   J2000 !  120.30    1.18
intphas_0147       0 27 32.26  59  9 59.4   J2000 !  119.87   -3.56
intphas_0148       0 27 37.17  57 52 59.4   J2000 !  119.76   -4.84
intphas_0149       0 27 55.15  67 13 59.8   J2000 !  120.65    4.47
intphas_0150       0 28  7.75  62 38 59.6   J2000 !  120.26   -0.10
intphas_0151       0 28 11.58  64 50 59.7   J2000 !  120.46    2.09
intphas_0152       0 28 19.64  65 45 59.8   J2000 !  120.56    3.00
intphas_0153       0 28 35.69  61 21 59.5   J2000 !  120.20   -1.38
intphas_0154       0 28 50.47  60  4 59.5   J2000 !  120.11   -2.66
intphas_0155       0 28 54.21  58 47 59.4   J2000 !  120.01   -3.94
intphas_0156       0 29  8.46  63 33 59.6   J2000 !  120.45    0.80
intphas_0157       0 29 45.24  62 16 59.6   J2000 !  120.41   -0.48
intphas_0158       0 29 46.97  66 18 59.8   J2000 !  120.76    3.54
intphas_0159       0 30  2.55  64 28 59.7   J2000 !  120.63    1.71
intphas_0160       0 30  4.89  60 59 59.5   J2000 !  120.35   -1.76
intphas_0161       0 30 14.68  59 42 59.5   J2000 !  120.26   -3.05
intphas_0162       0 30 16.19  58 25 59.4   J2000 !  120.16   -4.32
intphas_0163       0 30 49.19  65 23 59.7   J2000 !  120.79    2.61
intphas_0164       0 30 49.38  63 11 59.6   J2000 !  120.61    0.42
intphas_0165       0 30 52.91  66 51 59.8   J2000 !  120.91    4.08
intphas_0166       0 31 17.30  61 54 59.6   J2000 !  120.56   -0.86
intphas_0167       0 31 31.56  60 37 59.5   J2000 !  120.49   -2.14
intphas_0168       0 31 36.05  58  3 59.4   J2000 !  120.30   -4.70
intphas_0169       0 31 36.59  59 20 59.4   J2000 !  120.40   -3.42
intphas_0170       0 31 50.12  64  6 59.7   J2000 !  120.79    1.33
intphas_0171       0 32 12.88  67 24 59.8   J2000 !  121.08    4.61
intphas_0172       0 32 21.58  65 56 59.8   J2000 !  120.99    3.15
intphas_0173       0 32 27.27  62 49 59.6   J2000 !  120.77    0.04
intphas_0174       0 32 44.03  65  1 59.7   J2000 !  120.96    2.23
intphas_0175       0 32 49.19  61 32 59.5   J2000 !  120.72   -1.24
intphas_0176       0 32 58.16  60 15 59.5   J2000 !  120.64   -2.52
